title,type,rated,year,added_at,genre,language,country,imdb_rating
10 Things I Hate About You,movie,PG-13,1999,"November 12, 2019","Comedy, Drama, Romance","English, French",USA,7.3
101 Dalmatians,movie,G,1996,"November 12, 2019","Adventure, Comedy, Crime, Family","English, Spanish","USA, UK",5.7
101 Dalmatians 2: Patch's London Adventure,movie,G,2002,"November 12, 2019","Animation, Adventure, Comedy, Family, Musical",English,USA,5.8
102 Dalmatians,movie,G,2000,"November 12, 2019","Adventure, Comedy, Family",English,"USA, UK",4.9
12 Dates of Christmas,movie,PG,2011,"November 12, 2019","Comedy, Fantasy, Romance",English,USA,6.3
"20,000 Leagues Under the Sea",movie,G,1954,"November 12, 2019","Adventure, Drama, Family, Fantasy, Sci-Fi",English,USA,7.2
A Bug's Life,movie,G,1998,"November 12, 2019","Animation, Adventure, Comedy, Family",English,USA,7.2
A Goofy Movie,movie,G,1995,"November 12, 2019","Animation, Adventure, Comedy, Family, Musical, Romance",English,"USA, Australia, France, Canada",6.8
A Kid in King Arthur's Court,movie,PG,1995,"November 12, 2019","Adventure, Comedy, Family, Fantasy, Romance",English,"USA, Hungary, UK",4.7
A Knight for a Day,movie,APPROVED,1946,"November 12, 2019","Animation, Short, Comedy",English,USA,7.0
A Ring of Endless Light,movie,TV-G,2002,"November 12, 2019","Drama, Family, Romance",English,USA,6.1
A Tale of Two Critters,movie,G,1977,"April 3, 2020","Adventure, Family",English,USA,7.1
A Wrinkle in Time,movie,PG,2018,"March 25, 2020","Adventure, Family, Fantasy, Sci-Fi",English,USA,4.2
Aladdin,movie,PG,2019,"January 8, 2020","Adventure, Family, Fantasy, Musical, Romance","English, Arabic",USA,7.0
Aladdin,movie,G,1992,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",English,USA,8.0
Aladdin and the King of Thieves,movie,Not Rated,1996,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",English,USA,6.4
Aladdin and the Return of Jafar,movie,G,1994,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",English,USA,5.9
Alice in Wonderland,movie,G,1951,"November 12, 2019","Animation, Adventure, Family, Fantasy, Musical",English,USA,7.4
Alice in Wonderland,movie,PG,2010,"November 12, 2019","Adventure, Family, Fantasy",English,USA,6.4
Aliens of the Deep,movie,G,2005,"November 12, 2019","Documentary, Family",English,USA,6.4
All in a Nutshell,movie,Approved,1949,"April 3, 2020","Family, Comedy, Animation, Short",English,USA,7.6
Alley Cats Strike,movie,TV-G,2000,"November 12, 2019","Drama, Family, Sport",English,"USA, Canada",6.2
Almost Angels,movie,Not Rated,1962,"November 12, 2019","Comedy, Family, Music",English,USA,7.1
